delivery_date,vehicle_registration_number,product_name,product_item_name,quantity,weight
2026-01-02,KAY 414M,Soko Maize Flour,2kg x 12 pkts - Bale,3.0,72.0
2026-01-02,KCQ 723Y,Gofrut Mojito Juice,1L x 6pcs,1.0,6.0
2026-01-02,KAY 414M,ENO Lemon,1 packet x 24 pcs,0.0,0.0
2026-01-02,kcr 384a,Safari Lemonade,300ml x 12 bottles,44.0,202.4
2026-01-02,kcr 384a,Sunveat Fun Toys Rings,Barbeque - 12g x 30 packets,3.0,1.2
2026-01-02,KBT 141D,Master Chef Wheat Flour,2kg x 12 packets,1.0,24.0
2026-01-02,KCL 309P,Nutrameal Sugar ,250g x 40 packets,2.0,20.0
2026-01-02,KDL 256f,Fanta Blackcurrant,350ml x 12pcs,9.0,37.8
2026-01-02,KDL 256f,Gofrut Juice Assorted Flavours,500ml x 12pcs,1.0,6.0
2026-01-02,KBS 016T,ENO Tums,1 packet x 100 pcs,1.0,0.5
2026-01-02,KAY 414M,Monster Energy,Original - 500ml x 4 cans,5.0,10.0
2026-01-02,KDD 288Y,SunVeat Happy Happy Pinneaple Cream Biscuits,60 x 2pcs,1.0,1.2
2026-01-02,kcr 384a,Royco Pilau Masala Spice,10g x 24 sachets (2 strips),1.0,0.24
2026-01-02,kcr 384a,Royco Beef Cubes,4g x 40 cubes x 2 packs,7.0,2.24
2026-01-02,KCR 382A,Fanta Orange,350ml x 12pcs,5.0,21.0
2026-01-02,KCQ 720Y,Rhino Matchbox,10 x 10 x 1 Outer,2.0,1.6
2026-01-02,KCR 385a,Sossi Classic Chunks,35g x 12 packets,2.0,0.84
2026-01-02,KCR 380A,Postman Cooking Oil,20 Litre Jerrycan,6.0,120.0
2026-01-02,KCR 383A,Afia Mango,1L x 6pcs,0.0,0.0
2026-01-02,KAY 414M,Minute Maid Mango Juice,400ml x 12pcs,8.0,38.4
2026-01-02,KCR 385a,210 Maize Flour,2kg x 12 packets,1.0,24.0
2026-01-02,KCR 385a,SunVeat Happy Happy Orange Cream Biscuits,60 x 2pcs,3.0,3.6
2026-01-02,Kbn 692W,Fanta Blackcurrant,350ml x 12pcs,1.0,4.2
2026-01-02,KCR 378A,Kabras Sugar,2kg x 10 Packets,1.0,20.0
2026-01-02,KCE 477L,Nuvita Vitamilk,30 packets x 10pcs,1.0,0.93
2026-01-02,KBS 871Z,Ariel Lavender,500gm X 1 Pc,8.0,4.0
2026-01-02,KBS 016T,Bic 1 Shaver Lady,1 strip x 12pcs,1.0,0.01
2026-01-02,KDH 265A,Twiga Fortified Vegetable Cooking Oil,	10 Litre Jerrycan,3.0,30.0
2026-01-02,KCR 378A,Nuvita Orange Cream Biscuits,60 x 2pcs,1.0,1.38
2026-01-02,kcr 384a,Softcare Diapers Gold - High Count,XL - 1 packet x 36 pcs,4.0,5.68
2026-01-02,KBS 871Z,Nuvita Choco Biscuits,72 packets x 4pcs,1.0,0.92
2026-01-02,KCL 309P,Sunveat Fun Toys Rings,Barbeque - 12g x 30 packets,2.0,0.8
2026-01-02,KCE 477L,Kabras Sugar,2kg x 10 Packets,2.0,40.0
2026-01-02,KDL 256f,Dasani Water,500ml x 12pcs,2.0,12.0
2026-01-02,KBS 419T,SunVeat Happy Happy Orange Cream Biscuits,60 x 2pcs,1.0,1.2
2026-01-02,KCQ 723Y,Big Giant Lollipop-Assorted,1pkt x 50pcs,1.0,1.18
2026-01-02,KCY 042Y,Soko Maize Flour,2kg x 12 pkts - Bale,3.0,72.0
2026-01-02,KBS 871Z,Safari Lemonade,300ml x 12 bottles,19.0,87.4
2026-01-02,KCR 380A,Postman Cooking Oil,10 Litre Jerrycan,1.0,10.0
2026-01-02,KDH 265A,Dasani Water,500ml x 12pcs,1.0,6.0
2026-01-02,KBT 141D,Dawn Pekee Kubwa Tissue,1 bale x 12pcs,1.0,1.8
2026-01-02,KCE 477L,Blue Band Margarine Original,100g x 2 tubs,0.0,0.0
2026-01-02,KCQ 720Y,Mara Moja Tablets,1 packet x 100pcs,5.0,0.6
2026-01-02,KDH 265A,Sunveat Family Kumi Original,33+ 3g x 48pcs,1.0,1.5
2026-01-02,kcr 384a,Big Giant Assorted Tongue Painter,1pkt x 50pcs,2.0,2.2
2026-01-02,KBT 141D,MacCoffee Classic,1.6g x 72pcs,1.0,0.12
2026-01-02,KCG 013L,Sossi Classic Chunks,35g x 12 packets,1.0,0.42
2026-01-02,KCQ 723Y,Bic 1 Shaver Lady,1 strip x 12pcs,1.0,0.01
2026-01-02,KCQ 723Y,Coca-Cola,350ml x 12pcs,2.0,8.4
2026-01-02,Kbn 692W,Sossi Classic Chunks,70g x 12 packets,2.0,1.68
